Date,Open,High,Low,Close,Volume
2020-12-20,23844.72,24252.16,23095.72,23467.06,42981.99
2020-12-21,23467.06,24077.7,22015.91,22727.13,75934.38
2020-12-22,22727.13,23833.23,22378.26,23823.32,49685.46
2020-12-23,23823.32,24082.98,22641.37,23239.5,66161.63
2020-12-24,23239.5,23778.56,22716.45,23724.2,39804.23
2020-12-25,23724.2,24776.64,23417.43,24707.98,49655.15
2020-12-26,24707.98,26780.61,24494.27,26445.7,62923.13
2020-12-27,26445.7,28340.08,25805.96,26249.27,91052.09
2020-12-28,26249.27,27461.63,26085.96,27039.45,52027.49
2020-12-29,27039.45,27383.6,25864.25,27360.78,55477.49
2020-12-30,27360.78,28990.2,27360.09,28889.61,70752.88
2020-12-31,28889.61,29301.67,27957.13,28972.4,66915.03
2021-01-01,28972.4,29666.33,28748.21,29388.94,50841.73
2021-01-02,29388.94,33257.29,29036.26,32203.64,119214.75
2021-01-03,32203.64,34789.34,32010.59,33063.48,93510.99
2021-01-04,33063.48,33622.7,28493.29,32030.55,124909.68
2021-01-05,32030.55,34487.44,29985.29,34038.29,93735.47
2021-01-06,34038.29,36973.76,33404.2,36849.86,108190.73
2021-01-07,36849.86,40365.87,36340.01,39479.41,124086.76
2021-01-08,39479.41,41964.96,36640.51,40636.24,118077.27
2021-01-09,40636.24,41400.48,38783.61,40236.66,55591.28
2021-01-10,40236.66,41427.88,35283.65,38202.08,103220.32
2021-01-11,38202.08,38266.42,30308.4,35496.03,240328.0
2021-01-12,35496.03,36620.28,32522.98,34058.4,115232.53
2021-01-13,34058.4,37809.67,32405.89,37380.85,91979.17
2021-01-14,37380.85,40093.43,36751.89,39155.58,74972.21
2021-01-15,39155.58,39695.43,34396.19,36790.17,89468.27
2021-01-16,36790.17,37942.44,35395.88,36025.26,54226.28
2021-01-17,36025.26,36860.67,33854.83,35839.51,50913.3
2021-01-18,35839.51,37429.24,34784.4,36623.04,43063.97
2021-01-19,36623.04,37867.53,35917.28,35932.79,48457.45
2021-01-20,35932.79,36409.96,33519.59,35501.38,66302.02
2021-01-21,35501.38,35619.6,30067.14,30840.3,125586.98
2021-01-22,30840.3,33857.39,28817.3,33008.02,109210.12
2021-01-23,33008.02,33484.73,31430.15,32107.29,39813.32
2021-01-24,32107.29,33090.99,30957.56,32283.66,33650.76
2021-01-25,32283.66,34881.18,31937.09,32275.27,59529.49
2021-01-26,32275.27,32943.69,30853.17,32516.52,59770.06
2021-01-27,32516.52,32580.05,29236.73,30423.05,102257.23
2021-01-28,30423.05,33880.92,29905.53,33443.87,76993.1
2021-01-29,33443.87,38631.5,31996.08,34252.08,169454.57
2021-01-30,34252.08,34906.15,32858.0,34317.82,46326.31
2021-01-31,34317.82,34381.7,32214.08,33143.22,35337.11
2021-02-01,33143.22,34714.34,32340.24,33535.94,48144.6
2021-02-02,33535.94,36004.47,33459.48,35524.43,51377.38
2021-02-03,35524.43,37704.8,35413.72,37677.34,63974.93
2021-02-04,37677.34,38741.89,36199.19,36983.42,73775.45
2021-02-05,36983.42,38343.92,36626.5,38310.24,45243.69
2021-02-06,38310.24,40989.11,38247.96,39267.01,66494.6
2021-02-07,39267.01,39721.59,37408.16,38868.82,53823.4
2021-02-08,38868.82,46606.82,38063.87,46437.41,138485.21
2021-02-09,46437.41,48209.59,45051.46,46509.57,98670.48
2021-02-10,46509.57,47349.86,43743.99,44854.95,72992.8
2021-02-11,44854.95,48664.81,44032.66,48006.18,72251.82
2021-02-12,48006.18,48930.99,46243.85,47435.54,59549.61
2021-02-13,47435.54,48171.46,46291.19,47222.32,33281.25
2021-02-14,47222.32,49642.39,47096.92,48652.87,37853.59
2021-02-15,48652.87,49031.74,45910.0,47936.51,52683.57
2021-02-16,47936.51,50561.53,47068.63,49184.63,66072.59
2021-02-17,49184.63,52622.68,48967.72,52154.91,67133.49
2021-02-18,52154.91,52550.6,50874.81,51591.61,42530.26
2021-02-19,51591.61,56331.09,50766.83,55933.47,72433.44
2021-02-20,55933.47,57528.16,54140.61,55900.84,52924.57
2021-02-21,55900.84,58348.75,55516.07,57469.95,33823.01
2021-02-22,57469.95,57540.74,48194.31,54121.17,130806.33
2021-02-23,54121.17,54164.35,44983.39,48898.7,165758.08
2021-02-24,48898.7,51399.55,47015.55,49738.17,74972.28
2021-02-25,49738.17,52086.34,46728.88,47082.87,73102.42
2021-02-26,47082.87,48438.38,44153.46,46324.5,90519.05
2021-02-27,46324.5,48362.8,45063.84,46191.39,39013.78
2021-02-28,46191.39,46645.9,43061.92,45261.03,62249.5
2021-03-01,45261.03,49812.2,45058.98,49635.07,65660.6
2021-03-02,49635.07,50221.14,47097.84,48501.21,43281.84
2021-03-03,48501.21,52625.39,48176.64,50392.55,51572.27
2021-03-04,50392.55,51792.65,47516.91,48363.74,61387.71
2021-03-05,48363.74,49467.19,46311.43,48775.37,60955.82
2021-03-06,48775.37,49185.32,47099.07,48892.8,25116.42
2021-03-07,48892.8,51455.54,48892.8,50964.18,32958.26
2021-03-08,50964.18,52408.08,49341.09,52405.02,48084.28
2021-03-09,52405.02,54933.93,51888.98,54928.7,53740.22
2021-03-10,54928.7,57396.59,53054.34,55893.31,70138.56
2021-03-11,55893.31,58142.77,54314.65,57809.41,59202.98
2021-03-12,57809.41,58069.58,55089.68,57256.22,54282.31
2021-03-13,57256.22,61749.15,56103.32,61179.79,57862.75
2021-03-14,61179.79,61674.66,58980.95,58998.89,34886.85
2021-03-15,58998.89,60589.17,54857.68,55665.01,75161.15
2021-03-16,55665.01,56936.04,53269.13,56925.01,62540.93
2021-03-17,56925.01,58975.28,54156.11,58909.0,62035.71
2021-03-18,58909.0,60077.79,57022.2,57643.32,54289.71
2021-03-19,57643.32,59453.32,56283.37,58060.21,41182.41
2021-03-20,58060.21,59911.7,57837.79,58101.34,28696.46
2021-03-21,58101.34,58621.34,55635.61,57374.95,34236.52
2021-03-22,57374.95,58431.44,53795.78,54095.36,51098.9
2021-03-23,54095.36,55836.27,52984.36,54355.45,44780.24
2021-03-24,54355.45,57202.53,51685.15,52303.02,62596.16
2021-03-25,52303.02,53199.52,50406.31,51336.09,69776.36
2021-03-26,51336.09,55083.9,51275.54,55055.43,46165.63
2021-03-27,55055.43,56606.78,53991.0,55863.73,27392.29
2021-03-28,55863.73,56561.55,54717.97,55781.01,24145.77
2021-03-29,55781.01,58413.9,54910.57,57626.1,51547.9
2021-03-30,57626.1,59402.27,57055.21,58781.54,35315.45
2021-03-31,58781.54,59818.5,56918.81,58793.8,46494.48
2021-04-01,58793.8,59469.45,57949.11,58730.82,28027.66
2021-04-02,58730.82,60061.51,58458.46,58987.8,29748.03
2021-04-03,58987.8,59770.87,56958.04,57074.97,25104.9
2021-04-04,57074.97,58493.73,56493.38,58219.43,19002.99
2021-04-05,58219.43,59235.68,56833.44,59119.56,24696.26
2021-04-06,59119.56,59464.31,57369.44,58010.35,26304.15
2021-04-07,58010.35,58628.19,55467.58,55951.98,50347.59
2021-04-08,55951.98,58150.23,55711.07,58084.46,25461.84
2021-04-09,58084.46,58881.94,57694.22,58106.85,21314.29
2021-04-10,58106.85,61193.5,57885.43,59784.8,38726.18
2021-04-11,59784.8,60673.37,59218.25,59980.45,20365.62
2021-04-12,59980.45,61233.29,59421.37,59845.76,31804.9
2021-04-13,59845.76,63682.32,59811.31,63558.48,52964.84
2021-04-14,63558.48,64859.81,61312.98,62964.27,64272.96
2021-04-15,62964.27,63826.89,62038.33,63233.03,34089.46
2021-04-16,63233.03,63567.11,60048.13,61416.41,57540.3
2021-04-17,61416.41,62541.21,59712.92,60056.07,34261.66
2021-04-18,60056.07,60393.33,52785.1,56246.82,112545.94
2021-04-19,56246.82,57590.64,54291.08,55680.11,48650.49
2021-04-20,55680.11,57101.05,53429.73,56496.06,55866.75
2021-04-21,56496.06,56801.94,53640.81,53803.25,41813.35
2021-04-22,53803.25,55458.61,50519.78,51717.61,84222.11
2021-04-23,51717.61,52112.75,47495.24,51178.03,105510.21
2021-04-24,51178.03,51223.86,48769.48,50115.99,33894.94
2021-04-25,50115.99,50576.4,47073.07,49120.97,44241.37
2021-04-26,49120.97,54389.71,48843.41,54062.29,61603.5
2021-04-27,54062.29,55490.94,53357.59,55073.48,40602.56
2021-04-28,55073.48,56461.55,53886.63,54877.94,42647.15
2021-04-29,54877.94,55217.24,52399.42,53581.58,43948.76
2021-04-30,53581.58,57984.34,53089.93,57757.97,48771.0
2021-05-01,57757.97,58498.65,57057.4,57843.16,26146.3
2021-05-02,57843.16,57934.82,56092.72,56623.51,21671.56
2021-05-03,56623.51,58963.84,56531.6,57195.07,41015.04
2021-05-04,57195.07,57226.81,53108.04,53244.07,64556.47
2021-05-05,53244.07,57944.11,52978.89,57506.88,56998.25
2021-05-06,57506.88,58392.76,55299.4,56441.94,50632.92
2021-05-07,56441.94,58695.29,55311.16,57374.33,42812.69
2021-05-08,57374.33,59521.69,56985.44,58943.13,37728.82
2021-05-09,58943.13,59276.99,56350.98,58294.18,45716.87
2021-05-10,58294.18,59587.03,54239.16,55870.01,71168.05
2021-05-11,55870.01,56928.37,54490.38,56747.52,42949.94
2021-05-12,56747.52,58005.44,49182.89,49504.08,74345.74
2021-05-13,49504.08,51377.99,47029.73,49700.6,119769.29
2021-05-14,49700.6,51554.66,48910.06,49887.96,42891.66
2021-05-15,49887.96,50710.05,46606.18,46775.29,53332.47
2021-05-16,46775.29,49808.83,43918.69,46490.71,79337.9
2021-05-17,46490.71,46665.19,42130.83,43552.14,134127.17
2021-05-18,43552.14,45819.36,42309.39,42886.02,71930.7
2021-05-19,42886.02,43564.34,29925.2,36771.87,290986.06
2021-05-20,36771.87,42520.03,35009.25,40597.4,139648.53
2021-05-21,40597.4,42252.07,33552.8,37350.39,120589.87
2021-05-22,37350.39,38841.92,35287.71,37491.5,74964.98
2021-05-23,37491.5,38304.55,31157.18,34716.84,131584.71
2021-05-24,34716.84,39945.35,34467.32,38837.76,106765.14
2021-05-25,38837.76,39842.9,36509.09,38387.36,66530.67
2021-05-26,38387.36,40854.81,37855.81,39295.08,66483.59
2021-05-27,39295.08,40408.95,37211.84,38538.84,46474.62
2021-05-28,38538.84,38879.6,34733.76,35680.92,85345.66
2021-05-29,35680.92,37307.1,33666.06,34611.58,60616.25
